date,municipality,consumption_kwh,production_mlr_prediction,production_mlr_residual_kwh
2020-11-01,Bagumbayan,33495.77,30863.490504657333,2632.2794953426637
2020-11-02,Bagumbayan,34990.25,32416.89595765437,2573.354042345629
2020-11-03,Bagumbayan,37238.1,37172.780452966705,65.31954703329393
2020-11-04,Bagumbayan,36662.74,35401.33669039555,1261.4033096044514
2020-11-05,Bagumbayan,37219.21,36477.16357169982,742.0464283001784
2020-11-06,Bagumbayan,36368.44,35542.72837589289,825.7116241071126
2020-11-07,Bagumbayan,34802.83,34111.18568628744,691.6443137125607
2020-11-08,Bagumbayan,31065.74,32344.36471208256,-1278.6247120825574
2020-11-09,Bagumbayan,35075.93,36935.03383808089,-1859.1038380808895
2020-11-10,Bagumbayan,34254.86,33373.78938130869,881.0706186913085
2020-11-11,Bagumbayan,34750.52,35418.2677352107,-667.7477352107016
2020-11-12,Bagumbayan,33838.6,33032.706147913275,805.8938520867232
2020-11-13,Bagumbayan,34486.98,35551.281752273564,-1064.3017522735609
2020-11-14,Bagumbayan,34539.4,34611.93658164612,-72.53658164611988
2020-11-15,Bagumbayan,31324.53,31233.27926879327,91.25073120672823
2020-11-16,Bagumbayan,33032.3,33132.956207321324,-100.65620732132084
2020-11-17,Bagumbayan,34849.05,33231.33194338978,1617.7180566102252
2020-11-18,Bagumbayan,34455.31,32897.08217420567,1558.2278257943253
2020-11-19,Bagumbayan,35621.42,35301.64967279443,319.770327205566
2020-11-20,Bagumbayan,35972.28,35403.98507748955,568.2949225104458
2020-11-21,Bagumbayan,33103.15,30987.64747681585,2115.50252318415
2020-11-22,Bagumbayan,30825.41,30277.163790457183,548.2462095428164
2020-11-23,Bagumbayan,34142.76,33131.42741280778,1011.3325871922207
2020-11-24,Bagumbayan,35920.83,36563.575502329055,-642.7455023290531
2020-11-25,Bagumbayan,36339.34,37035.28834522947,-695.9483452294735
2020-11-26,Bagumbayan,33690.33,33508.77004119831,181.55995880169212
2020-11-27,Bagumbayan,35681.87,35970.403116575326,-288.5331165753232
2020-11-28,Bagumbayan,34349.51,32324.009660055213,2025.5003399447887
2020-11-29,Bagumbayan,30913.82,28452.63941352728,2461.180586472721
2020-11-30,Bagumbayan,30481.24,29357.553215770557,1123.686784229445
2020-12-01,Bagumbayan,32769.5,32859.31052793948,-89.81052793948038
2020-12-02,Bagumbayan,33995.96,36174.33314199196,-2178.373141991964
2020-12-03,Bagumbayan,34931.43,34223.53709257811,707.8929074218904
2020-12-04,Bagumbayan,33806.12,35152.23860278249,-1346.1186027824879
2020-12-05,Bagumbayan,32082.33,30426.98519147785,1655.3448085221535
2020-12-06,Bagumbayan,29181.98,26254.249512507242,2927.7304874927577
2020-12-07,Bagumbayan,32196.55,31859.78678153039,336.76321846960855
2020-12-08,Bagumbayan,31572.97,26942.263363549224,4630.706636450777
2020-12-09,Bagumbayan,33638.73,37281.077395888584,-3642.3473958885806
2020-12-10,Bagumbayan,34302.83,34908.206477533255,-605.3764775332529
2020-12-11,Bagumbayan,33605.86,33858.37475752762,-252.51475752762053
2020-12-12,Bagumbayan,31241.04,31646.10419541245,-405.0641954124476
2020-12-13,Bagumbayan,31581.29,32429.667070887357,-848.3770708873562
2020-12-14,Bagumbayan,32690.3,32752.893499519603,-62.59349951960394
2020-12-15,Bagumbayan,33592.54,32796.25537012412,796.2846298758814
2020-12-16,Bagumbayan,33196.01,31706.63510377967,1489.3748962203317
2020-12-17,Bagumbayan,33543.23,32355.831617844244,1187.3983821557595
2020-12-18,Bagumbayan,34209.77,31855.929430926164,2353.8405690738327
2020-12-19,Bagumbayan,33821.21,33879.77559813675,-58.56559813675267
2020-12-20,Bagumbayan,30186.34,29619.912759342227,566.4272406577729
2020-12-21,Bagumbayan,33771.06,32431.528076474526,1339.531923525472
2020-12-22,Bagumbayan,34701.9,33859.70540203295,842.194597967049
2020-12-23,Bagumbayan,35052.97,34709.97011731936,342.99988268064044
2020-12-24,Bagumbayan,33882.24,31052.491344677506,2829.7486553224917
2020-12-25,Bagumbayan,33281.7,32031.636705296205,1250.063294703792
2020-12-26,Bagumbayan,31730.58,28733.28376958882,2997.2962304111825
2020-12-27,Bagumbayan,31071.43,31388.07265633925,-316.6426563392488
2020-12-28,Bagumbayan,34790.01,34986.92103116843,-196.91103116842714
